name,yearID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,X1B,AVG,OBP,SLG,OPS,IS0,X2B_PCT,X3B_PCT,HR_PCT,HR_H,RBI_PCT,RBI_H,R_PA,R_OB,SO_BB,SO_PCT,SB_PCT,SB_FREQ,SH_PCT,SF_PCT,GIDP_PCT,clust_dist
Devin Mesoraco,2018,84,244,24,54,10,0,11,33,0,0,25,52,3,4,0,1,9,283,33,0.221,0.303,0.398,0.700,0.176,0.035,0.000,0.039,0.204,0.117,0.611,0.085,0.289,2.080,0.184,0.000,0.000,0.000,0.004,0.032,2.364104025
Cluster  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Brown,1972,109,303,29,75,11,0,4,32,1,3,28,47,6,1,1,3,11,347,60,0.248,0.310,0.323,0.634,0.076,0.032,0.000,0.012,0.053,0.092,0.427,0.084,0.279,1.679,0.135,0.250,0.010,0.003,0.009,0.032,1.337873888
Erick Aybar,2016,126,415,34,101,19,2,3,34,3,5,31,70,6,6,3,4,15,474,77,0.243,0.303,0.320,0.623,0.077,0.040,0.004,0.006,0.030,0.072,0.337,0.072,0.246,2.258,0.148,0.375,0.022,0.006,0.008,0.032,1.370237955
Joe Christopher,1965,148,437,38,109,18,3,5,40,4,4,35,82,3,6,4,4,10,496,83,0.249,0.311,0.339,0.650,0.089,0.036,0.006,0.010,0.046,0.081,0.367,0.077,0.253,2.343,0.165,0.500,0.027,0.008,0.008,0.020,1.396914331
Don Money,1969,127,450,41,103,22,2,6,42,1,3,43,83,5,1,6,3,16,519,73,0.229,0.296,0.327,0.622,0.098,0.042,0.004,0.012,0.058,0.081,0.408,0.079,0.279,1.930,0.160,0.250,0.007,0.012,0.006,0.031,1.402001569
Ken Boyer,1967,113,346,34,86,12,3,7,34,2,3,33,47,3,0,2,3,10,394,64,0.249,0.312,0.361,0.673,0.113,0.030,0.008,0.018,0.081,0.086,0.395,0.086,0.286,1.424,0.119,0.400,0.017,0.005,0.008,0.025,1.426928625
Tucker Barnhart,2018,138,460,50,114,21,3,10,46,0,4,54,96,2,2,3,3,13,535,80,0.248,0.328,0.372,0.699,0.124,0.039,0.006,0.019,0.088,0.086,0.404,0.093,0.294,1.778,0.179,0.000,0.000,0.006,0.006,0.024,2.258804747
Jonathan Lucroy,2018,126,415,41,100,21,1,4,51,0,0,29,65,1,3,1,6,12,466,74,0.241,0.291,0.325,0.617,0.084,0.045,0.002,0.009,0.040,0.109,0.510,0.088,0.311,2.241,0.139,0.000,0.000,0.002,0.013,0.026,2.383556563
Joe Panik,2018,102,358,38,91,14,1,4,24,4,2,26,30,3,3,1,4,10,402,72,0.254,0.307,0.332,0.639,0.078,0.035,0.002,0.010,0.044,0.060,0.264,0.095,0.317,1.154,0.075,0.667,0.033,0.002,0.010,0.025,2.446007596
Cameron Maybin,2018,129,342,32,85,14,2,4,28,10,5,38,75,1,2,0,2,7,391,65,0.249,0.326,0.336,0.662,0.088,0.036,0.005,0.010,0.047,0.072,0.329,0.082,0.256,1.974,0.192,0.667,0.080,0.000,0.005,0.018,2.598135654
Greg Garcia,2018,114,181,15,40,6,0,3,15,3,1,20,37,1,4,1,2,3,211,31,0.221,0.309,0.304,0.613,0.083,0.028,0.000,0.014,0.075,0.071,0.375,0.071,0.234,1.850,0.175,0.750,0.047,0.005,0.009,0.014,2.647950942
Cluster  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
